id,created_at,text
872243414930264065,2017-06-07 00:06:50,"b'Great meeting with @HouseGOP and @SenateGOP leaders, including @SpeakerRyan, @SenateMajLdr, @GOPLeader, @JohnCornyn\xe2\x80\xa6 https://t.co/G03W8CEtCS'"
872147965451882496,2017-06-06 17:47:33,b'Today we remember the courage and bravery of our troops that stormed the beaches of Normandy 73 years ago. #DDay\xe2\x80\xa6 https://t.co/zhR24dMzYB'
872086906804240384,2017-06-06 13:44:55,"b'...extremism, and all reference was pointing to Qatar. Perhaps this will be the beginning of the end to the horror of terrorism!'"
872084870620520448,2017-06-06 13:36:50,b'So good to see the Saudi Arabia visit with the King and 50 countries already paying off. They said they would take a hard line on funding...'
872064426568036353,2017-06-06 12:15:36,"b'Sorry folks, but if I would have relied on the Fake News of CNN, NBC, ABC, CBS, washpost or nytimes, I would have had ZERO chance winning WH'"
872062159789985792,2017-06-06 12:06:35,b'During my recent trip to the Middle East I stated that there can no longer be funding of Radical Ideology. Leaders pointed to Qatar - look!'
872059997429022722,2017-06-06 11:58:00,b'The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.'
872043300949295104,2017-06-06 10:51:39,b'Big meeting today with Republican leadership concerning Tax Cuts and Healthcare. We are all pushing hard - must get it right!'
872041195618349056,2017-06-06 10:43:17,"b'RT @foxandfriends: FOX NEWS ALERT: ISIS claims responsibility for hostage siege in Melbourne, Australia that killed 1 person and injured 3\xe2\x80\xa6'"
872040726120550404,2017-06-06 10:41:25,"b""RT @foxandfriends: Sen. Ted Cruz: Trump's air traffic control plan is a 'win-win' for Democrats and Republicans https://t.co/TsggUEfOO2"""
871899511525961728,2017-06-06 01:20:17,"b""That's right, we need a TRAVEL BAN for certain DANGEROUS countries, not some politically correct term that won't help us protect our people!"""
871840367070412800,2017-06-05 21:25:16,"b'Today, I announced an Air Traffic Control Initiative to take American air travel into the future - finally!\n\xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/NIIorkSRJN'"
871830255396192256,2017-06-05 20:45:05,"b"".@SecShulkin's decision is one of the biggest wins for our VETERANS in decades. Our HEROES deserve the best! \n\xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/RnNp9q7Tdh"""
871725780535062528,2017-06-05 13:49:56,"b'Pathetic excuse by London Mayor Sadiq Khan who had to think fast on his ""no reason to be alarmed"" statement. MSM is working hard to sell it!'"
871722020278587393,2017-06-05 13:35:00,"b'.@foxandfriends  Dems are taking forever to approve my people, including Ambassadors. They are nothing but OBSTRUCTIONISTS! Want approvals.'"
871679061847879682,2017-06-05 10:44:18,b'In any event we are EXTREME VETTING people coming into the U.S. in order to help keep our country safe. The courts are slow and political!'
871677472202477568,2017-06-05 10:37:59,b'The Justice Dept. should ask for an expedited hearing of the watered down Travel Ban before the Supreme Court - &amp; seek much tougher version!'
871675245043888128,2017-06-05 10:29:08,"b'The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C.'"
871674214356484096,2017-06-05 10:25:02,"b'People, the lawyers and the courts can call it whatever they want, but I am calling it what we need and what it is, a TRAVEL BAN!'"
871331574649901056,2017-06-04 11:43:30,"b""Do you notice we are not having a gun debate right now? That's because they used knives and a truck!"""
871328428963901440,2017-06-04 11:31:00,"b'At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!""'"
871325606901895168,2017-06-04 11:19:47,"b""We must stop being politically correct and get down to the business of security for our people. If we don't get smart it will only get worse"""
871145660036378624,2017-06-03 23:24:45,"b'Whatever the United States can do to help out in London and the U. K., we will be there - WE ARE WITH YOU. GOD BLESS!'"
