id,created_at,text
875054639086837760,2017-06-14 18:17:38,b'We #WITNESS you @Spotify...Keep streaming you streamers! https://t.co/N2JA9lPtA1 -TeamKP https://t.co/H0PUudkDHr'
874989918853881857,2017-06-14 14:00:27,b'Quebec City! Your American Express \xf0\x9f\x92\xb3 presale for Witness: The Tour starts now! \xf0\x9f\x8d\x81 https://t.co/zR2Us1XBR2 -TeamKP https://t.co/yXR6884Hb3'
874901298222702592,2017-06-14 08:08:19,b'Amen @nayyirahwaheed https://t.co/KSwd2vMGKz'
874823832066035712,2017-06-14 03:00:29,b'WANNA VISIT #KPWWW HQ? Stay tuned for a very special message at 8:00a PT tomorrow! \xf0\x9f\x8e\x89'
874747002831028224,2017-06-13 21:55:12,b'ICYMI on #KPWWW -TeamKP https://t.co/bTO2fABrA0'
874721364103397386,2017-06-13 20:13:19,"b'#KPWWW might be over, but #Witness is out now on @AppleMusic! https://t.co/PENvyzrkP1 -TeamKP https://t.co/fkwtlj6dlU'"
874701541801738240,2017-06-13 18:54:33,b'ICYMI on #KPWWW -TeamKP https://t.co/Fsl0NTxBbo'
874627501359677442,2017-06-13 14:00:20,"b'Buffalo, Charlotte, Kansas City, Grand Rapids! Got a Citi \xf0\x9f\x92\xb3 ? Your Witness: The Tour presale starts at 10am local!\xe2\x80\xa6 https://t.co/Ccq988jcv9'"
874552851682295808,2017-06-13 09:03:42,"b'Amsterdam knows what \xf0\x9f\x87\xb3\xf0\x9f\x87\xb1 is \xf0\x9f\x87\xb3\xf0\x9f\x87\xb1 what \xf0\x9f\x87\xb3\xf0\x9f\x87\xb12ND SHOW @ZiggoDome added to #WitnessTheTour. Tix on sale Thursday, 10AM CEST.\xe2\x80\xa6 https://t.co/jBk4NHS1bB'"
874420232445505536,2017-06-13 00:16:44,"b""Thanks for witnessing on @YouTube. In case we don't see ya - good afternoon, good evening, and good night!\xe2\x80\xa6 https://t.co/OkN2wRcVBO"""
874403141390712832,2017-06-12 23:08:49,b'Thanks for riding this ride with us. \xf0\x9f\x91\x81Tune in now for the #KPWWW finale concert on @YouTube!\xe2\x80\xa6 https://t.co/ldImwBOFnR'
874386785924595712,2017-06-12 22:03:49,b'SURPRISE! Thanks for being a part of #KPWWW @PTXofficial -TeamKP https://t.co/KRZljlZVh0'
874375511409020928,2017-06-12 21:19:01,b'.@JKCorden @RuPaul @GordonRamsay and many more dropped by the WWW HQ this weekend. Watch it all on @YouTube now.\xe2\x80\xa6 https://t.co/1cdblShzY1'
874343473171750912,2017-06-12 19:11:43,"b""Follow along with Katy and @TracyAnderson's workout on @YouTube right now! #KPWWW https://t.co/EJOsFazFtu -TeamKP https://t.co/pn91AqAQgv"""
874306038115188736,2017-06-12 16:42:57,b'Last day at #KPWWW HQ! https://t.co/hfw61GYUDm'
